Collections,Sales,Buyers,Txns,Owners
Async Blueprints,"$12,985,647",992,"1,640","3,010"
Stoned Ape Crew,"$12,891,026","3,547","8,014","4,405"
Farm Land by Pixels,"$12,838,503","5,537","9,798",
Nuclear Nerds,"$12,786,395","6,347","14,146",
The Indifferent Duck,"$12,745,979","7,975","15,556",
The Flower Girls,"$12,668,375","6,968","13,887","4,177"
Noundles,"$12,392,176","6,005","12,036","3,224"
CreatureToadz,"$12,355,786","5,324","10,467","4,710"
Monfters Club,"$12,343,225","5,999","12,661",
Bored Mummy Waking Up,"$12,326,911","6,553","16,091","3,693"
Chicken Derby,"$12,301,805","5,364","23,947","5,926"
CakedApes,"$12,259,436","7,110","12,798",
Alpha Kongs Club,"$12,189,544","7,209","10,925",
Degen Toonz,"$11,986,523","3,421","6,567",
Bricktopians,"$11,946,998","8,051","13,498",
Kumo x World,"$11,863,173","7,565","13,891",
Quirkies,"$11,821,139","5,087","10,759",
Colonize Mars,"$11,399,879","20,510","482,430","31,685"
Basis Markets,"$11,321,943",370,800,980
Monkey Ball,"$11,301,549","3,581","8,706","3,673"
